,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
27,Decentral Games,DG,ethereum,0x4b520c812e8430659fc9f12f6d0c39026c83588d,Metaverse,browser,$0.04 ,5.71%,"$1,248,780 ","$20,647,854 ",,,2022/11/12
28,Wilder World,WILD,ethereum,0x2a3bff78b79a009976eea096a51a948a3dc00e34,Metaverse,browser,$0.22 ,-1.48%,"$1,435,049 ","$19,750,162 ",,,2022/11/12
29,Phantasma,SOUL,ethereum,0x298eff8af1ecebbb2c034eaa3b9a5d0cc56c59cd,Metaverse,browser,$0.16 ,-0.76%,"$339,852 ","$17,038,281 ",,,2022/11/12
30,Somnium Space,CUBE,ethereum,0xdf801468a808a32656d2ed2d2d80b72a129739f4,"Metaverse, VR, Virtual-World",windows,$1.05 ,2.43%,"$46,366 ","$15,529,009 ",,,2022/11/12
31,MixMarvel,MIX,"ethereum,bsc",NoAddress,Other,browser,$0.00 ,5.44%,"$139,619 ","$15,316,232 ",,,2022/11/12
32,Victoria VR,VR,ethereum,0x7d5121505149065b562c789a0145ed750e6e8cdd,"MMORPG, Metaverse, VR",browser,$0.01 ,-4.34%,"$1,186,290 ","$14,712,934 ",,,2022/11/12
33,Cornucopias,COPI,bsc,0xfea292e5ea4510881bdb840e3cec63abd43f936f,MMORPG,"browser,pc,mobile",$0.02 ,11.45%,"$218,581 ","$14,616,227 ",,,2022/11/12
34,OVR,OVR,ethereum,0x7e35d0e9180bf3a1fc47b0d110be7a21a10b41fe,"Metaverse, VR",browser,$0.51 ,-4.13%,"$992,086 ","$13,121,388 ",,,2022/11/12
35,BOSAGORA,BOA,ethereum,0x746dda2ea243400d5a63e0700f190ab79f06489e,"Metaverse, Virtual-World",browser,$0.04 ,5.65%,"$477,665 ","$12,763,856 ",,,2022/11/12
36,Magic Craft,MCRT,bsc,0x4b8285ab433d8f69cb48d5ad62b415ed1a221e4f,"MMORPG, Metaverse, Fantasy",browser,$0.01 ,12.87%,"$521,960 ","$11,782,080 ",,,2022/11/12
37,DeRace,DERC,ethereum,0x373e768f79c820aa441540d254dca6d045c6d25b,"Racing, Sports",browser,$0.15 ,-11.74%,"$642,644 ","$11,762,686 ",,,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Cosmic Guild,15,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",GuildFi,25,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Yield Guild Games,41,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Merit Circle,34,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",UniX Gaming,36,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Perion,9,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Avocado DAO,33,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Ancient8,15,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Play It Forward DAO,25,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Salad Ventures,10,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",IndiGG,28,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",YGG Sea,40,2022/11/12
38,Sipher,SIPHER,ethereum,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,RPG,browser,$0.12 ,8.25%,"$76,497 ","$11,575,079 ",Loot Squad,7,2022/11/12
39,Affyn,FYN,polygon,0x3b56a704c01d650147ade2b8cee594066b3f9421,Other,browser,$0.05 ,9.75%,"$452,386 ","$11,338,317 ",,,2022/11/12
40,GAMI,GAMI,bsc,0x1236a887ef31b4d32e1f0a2b5e4531f52cec7e75,Other,browser,$0.32 ,5.68%,"$301,257 ","$11,059,478 ",,,2022/11/12
41,RedFox Labs,RFOX,ethereum,0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,Metaverse,browser,$0.01 ,6.72%,"$297,632 ","$10,988,496 ",Yield Guild Games,41,2022/11/12
42,Mancium,MANC,ethereum,NoAddress,Other,browser,$1.03 ,0.43%,"$1,207,751 ","$10,322,884 ",,,2022/11/12
43,Rebel Bots - Xoil Wars,RBLS,polygon,0xe26cda27c13f4f87cffc2f437c5900b27ebb5bbb,"Breeding, Card Game, PVP",browser,$0.10 ,3.83%,"$22,261 ","$10,139,309 ",Avocado DAO,33,2022/11/12
