,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
284,Blockade Games,Seed Round,"$5,000,000 ","Animoca Brands, DrewAustin, FlamingoDAO, Galaxy Interactive, RohamGharegozlou, KeithGrossman, MeltemDemirors, Xsquared Ventures, Polygon, AlexAmsel, MikeDudas, ChristineMoy, AlexAtallah, DavidFinzer, GabbyDizon, TeganKline, AngieDalton, JimmyMcNelis, ViktorBunin, AxelAdelman, AurelIancu, DuncanCockFoster","Nov 24, 2021",2022/11/12
285,GAMA,Series A Round,"$6,000,000 ","Collab+Currency, Synergis, A&T Capital, Shima Capital, Sfermion, ArtistCapital, J17Capital, Lattice, VeraLi, FutureMoneyAdvisory","Nov 24, 2021",2022/11/12
286,TryHards,Private Round,"$3,580,000 ","GD10 Ventures, Momentum 6, DuckDao, ZBS Capital, Nabais Capital, Basics Capital, Brilliance Ventures, Oddiyana Ventures, Kommunitas, LucidBlue Ventures","Nov 23, 2021",2022/11/12
287,Age Of Tanks,Private Round,"$1,560,000 ","Shima Capital, Avstar Capital, Panda Capital, Chronos Ventures, Maven Capital, Alpha Moon Capital, Babylons, LucidBlue Ventures, X99 Ventures, Traveler Capital, Dream Ventures PH","Nov 23, 2021",2022/11/12
288,MetaSoccer,Private Round,"$1,800,000 ","Kyros Ventures, DAO Maker Investor, DeFiance Capital, ParaFi Capital, Metrix Capital, Peech Capital, ReBlock","Nov 23, 2021",2022/11/12
289,Polemos,Seed Round,"$2,000,000 ","Delphi Digital, QCP Soteria, Framework Ventures, DeFi Capital","Nov 23, 2021",2022/11/12
290,UpOnly,Private Round,"$7,400,000 ","OIG Oracles Investment Group, Signal Ventures, ZBS Capital, CSP DAO, Maven Capital, Everse Capital, Avalon Wealth Club, Synapse Ventures, Kent Capital VC, Roseon Finance, Almora Capital","Nov 22, 2021",2022/11/12
291,Polemos,Strategic Round,"$2,000,000 ","Delphi Digital, QCP Soteria, Framework Ventures, DeFi Capital","Nov 22, 2021",2022/11/12
292,Fancy Birds,Seed Round,-,"Merit Circle Investor, Yield Guild Games, Polemos, YGG SEA, Framework Ventures","Nov 22, 2021",2022/11/12
293,Real Realm,Private Round,"$1,200,000 ","AU21 Capital, Lotus Capital, Kardia Ventures, Alpha Moon Capital, Dreamboat Capital, Onebit Ventures, Wildcat Ventures, Kylin Network, KV Ventures, INTR Ventures, DCT Capital","Nov 20, 2021",2022/11/12
294,VerseHub,Seed Round,"$1,000,000 ",GameFi Investor,"Nov 19, 2021",2022/11/12
295,Space Falcon,Private Round,"$4,032,000 ","ExNetwork Capital, Momentum 6, Magnus Capital, OKEx Blockdream Ventures, ZBS Capital, Avstar Capital, Peech Capital, Basics Capital, Solar Eco Fund, Maven Capital, Unanimous Capital","Nov 18, 2021",2022/11/12
296,CrimeCash,Private Round,"$8,000,000 ",,"Nov 17, 2021",2022/11/12
297,OneRare,Private Round,"$2,050,000 ","ExNetwork Capital, X21 Digital, Momentum 6, ZBS Capital, CSP DAO, Kardia Ventures, ArkStream Capital, Polygon Studios, Stable Node, Maven Capital, Everse Capital","Nov 17, 2021",2022/11/12
298,GridZone.Io,Private Round,"$4,319,450 ","Altonomy, ZBS Capital, Borderless Capital, TAG Ventures, IBC Group","Nov 17, 2021",2022/11/12
299,SIDUS,Private Round,"$8,820,000 ","Legion Ventures, OIG Oracles Investment Group, ZBS Capital, Maven Capital, Dec Ventures, Banter Capital, Asteroid Capital, Onebit Ventures, Almora Capital, CMC Capital, Metavest Capital","Nov 17, 2021",2022/11/12
300,Playermon,Private Round,"$2,450,000 ","Kyros Ventures, X21 Digital, Signal Ventures, CSP DAO, Polygon Studios, Banter Capital, BCA Investment, Oddiyana Ventures, Dreamboat Capital, Red Hat Capital","Nov 16, 2021",2022/11/12
301,Decimated,Private Round,"$3,500,000 ","Alameda Research, Spartan Group, Huobi Capital, Metavest Capital, Mechanism Capital, Master Ventures, Gains Associates, Spark Digital Capital, Polygon, IsraeliBlockchainAssociation, Three M Capital, Bixin Ventures, Gem Capital, Dutch Crypto Investors, Titans Ventures, Good Games Guild, Cointelligence Fund, Pluto Digital Assets","Nov 17, 2021",2022/11/12
302,Attack Wagon,Private Round,"$1,910,000 ","ExNetwork Capital, X21 Digital, Dutch Crypto Investors, Polygon Studios, RedCave Ventures, Maven Capital, ReBlock, Aussie Capital, Tokenova, BrotherHood Ventures, BCA Investment","Nov 15, 2021",2022/11/12
303,Irreverent Labs,Seed Round,"$5,000,000 ","Andreessen Horowitz, MantisVC, UnlockVenturePartners, AdvancitCapital, KeenCrypto","Nov 15, 2021",2022/11/12
304,Heroes TD,Private Round,"$2,246,400 ","Kardia Ventures, BSC Station, Alpha Moon Capital, Wildcat Ventures, Babylons, UFIN, BAS Ventures, KV Ventures","Nov 12, 2021",2022/11/12
305,DopeWarz,Private Round,"$2,325,000 ","Fomocraft Ventures, Legion Ventures, Avstar Capital, Peech Capital, Avalon Wealth Club, TK Ventures, Roseon Finance","Nov 12, 2021",2022/11/12
306,Zuki Moba,Private Round,"$1,400,000 ","X21 Digital, Krypital Group, Axia8 Ventures, Bixin Ventures, VBC Ventures, Kyber Network, Alpha Moon Capital, Onebit Ventures, Clovers Ventures, Wildcat Ventures, Thinksmart Brother","Nov 11, 2021",2022/11/12
307,DigiNation,Seed Round,"$2,400,000 ","LongHash Ventures, OKX, Huobi Capital, Rarestone Capital, Spark Digital Capital, Yuanyuzhou Ventures, 21DAOVentures","Nov 11, 2021",2022/11/12
308,Titan Hunters,Private Round,"$2,070,000 ","ExNetwork Capital, AU21 Capital, DAO Maker Investor, Icetea Labs, Vendetta Capital, Avstar Capital, Panda Capital, Raptor Capital, Chronos Ventures, Basics Capital, Cinch Block","Nov 10, 2021",2022/11/12
309,Moonscape,Private Round,"$25,000 ","Momentum 6, Sky Vision Capital, ZBS Capital, Pluto Digital Assets, Kairon Labs, Solidity Ventures, Basics Capital, Moonboots Capital, Black Edge Capital, Cointelligence Fund, Banter Capital","Nov 09, 2021",2022/11/12
310,ASPO World,Private Round,"$1,575,000 ","ZBS Capital, Icetea Labs, Vendetta Capital, Avstar Capital, HG Ventures (DAS Kapital), Everse Capital, Halvings Capital, OneMax Capital, Gem Capital, Cabo Capital, CFL Venture Group, Coincu Ventures","Nov 09, 2021",2022/11/12
311,Zodium,Private Round,"$3,350,000 ","Kyros Ventures, AU21 Capital, Morningstar Ventures, Momentum 6, ROK Capital, SL2 Capital, Basics Capital, HG Ventures (DAS Kapital), Dweb3 Capital, Bybit, Evernew Capital","Nov 09, 2021",2022/11/12
312,ECIO Space,Private Round,"$1,093,750 ","Magnus Capital, ZBS Capital, Poolz, Avstar Capital, Chronos Ventures, Iconium, SMO Capital, Asteroid Capital, TK Ventures, Babylons, Mochi Market","Nov 09, 2021",2022/11/12
313,RaceFi,Private Round,"$2,850,000 ","ExNetwork Capital, Titans Ventures, X21 Digital, Shima Capital, Genblock Capital, Master Ventures, Magnus Capital, ZBS Capital, Avstar Capital, VBC Ventures, Basics Capital","Nov 08, 2021",2022/11/12
314,Rct AI,Series A Round,"$10,000,000 ","Yuanyuzhou Ventures, SpringWind Ventures, Galaxy Interactive, Bonfire Ventures, Everest Ventures Group, FBG Capital, Folius Ventures, HashKey Capital, Hash Global, LiangXinjun, LucidBlue Ventures, MaskNetwork, PKSHACapital, SNZ Holding, Zonff Partners","Nov 08, 2021",2022/11/12
315,9D NFT,Private Round,"$2,945,760 ","ExNetwork Capital, X21 Digital, NGC Ventures, Genesis Block Ventures, ZBS Capital, Lotus Capital, Avstar Capital, Kardia Ventures, Basics Capital, Everse Capital, RD Labs (Rug Detectives)","Nov 06, 2021",2022/11/12
316,Lord Arena,Private Round,"$1,500,000 ","GD10 Ventures, Poolz, Basics Capital, Kommunitas, LAMBO Capital, GemsLab Ventures","Nov 06, 2021",2022/11/12
317,Ninneko,Private Round,"$1,050,000 ","Shima Capital, Avstar Capital, Mayor Capital, Dreamboat Capital, Seed Thrift Ventures, Red Hat Capital, idoresearch.ventures, RR2 Capital, GemsLab Ventures","Nov 05, 2021",2022/11/12
318,Crabada,Private Round,"$600,000 ","Avalanche, Sky Vision Capital, Zee Prime Capital, Maven Capital, Avalaunch","Nov 05, 2021",2022/11/12
319,Core Loop,Seed Round,"$12,000,000 ","Andreessen Horowitz, Galaxy Digital, InitialCapital, Dune Ventures, 1UpVentures, SisuGameVentures","Nov 05, 2021",2022/11/12
320,Bemil,Private Round,"$1,655,000 ","Fomocraft Ventures, Icetea Labs, Avstar Capital, Basics Capital, PolkaFoundry, Red Kite, GameFi Investor","Nov 04, 2021",2022/11/12
321,Scotty Beam,Private Round,"$4,237,500 ","X21 Digital, Legion Ventures, OIG Oracles Investment Group, Magnus Capital, CyberFi, VBC Ventures, Basics Capital, Chainstride Capital, Moonboots Capital, Maven Capital, Kangaroo Capital","Nov 04, 2021",2022/11/12
322,TaleCraft,Private Round,"$1,533,000 ","ExNetwork Capital, Dutch Crypto Investors, ZBS Capital, Maven Capital, Kangaroo Capital, Avalaunch, Ferrum Network, Babylons, AVentures Dao, RR2 Capital","Nov 04, 2021",2022/11/12
323,WidiLand,Private Round,"$1,210,000 ","AU21 Capital, X21 Digital, OIG Oracles Investment Group, Shinchan Group, ZBS Capital, TomoChain, Lua Ventures, BSC Station, Oddiyana Ventures, Alpha Moon Capital, Dreamboat Capital","Nov 04, 2021",2022/11/12
324,Faraway,Series A Round,"$21,000,000 ","Andreessen Horowitz, Sequoia Capital, Jump Capital, Lightspeed Venture Partners, FTX, Pantera Capital","Nov 04, 2021",2022/11/12
325,Animalia,Private Round,"$1,879,200 ","ExNetwork Capital, GD10 Ventures, Master Ventures, Gains Associates, BSC News, Banter Capital, Roseon Finance, Lavender Capital","Nov 03, 2021",2022/11/12
326,Nyan Heroes,Seed Round,"$2,500,000 ","Three Arrows Capital, Mechanism Capital, DeFiance Capital, Sino Global Capital, Infinity Ventures Crypto, Sky Vision Capital, Yield Guild Games, Merit Circle Investor, KevinLin, ThomasVu, JihanWu, DarrenLau, Mr.Block","Nov 03, 2021",2022/11/12
327,Phantasia Sports,Private Round,"$1,850,000 ",,"Nov 02, 2021",2022/11/12
328,Oly Sport,Private Round,"$2,000,000 ","X21 Digital, Genesis Block Ventures, Genblock Capital, ZBS Capital, VBC Ventures, Basics Capital, Everse Capital, ReBlock, BSC Station, Halvings Capital, Onebit Ventures","Nov 01, 2021",2022/11/12
329,Koi Metaverse,Private Round,"$2,600,000 ","Kyros Ventures, ExNetwork Capital, AU21 Capital, Titans Ventures, X21 Digital, ZBS Capital, Signum Capital, Maven Capital, Alpha Moon Capital, Gem Capital","Nov 01, 2021",2022/11/12
330,Elpis Battle,Private Round,"$2,150,000 ","Kyros Ventures, Fomocraft Ventures, Coin98 Ventures, Hashed, Signum Capital, HyperChain Capital, DeFi Capital, Kyber Network, SotaTek, KV Ventures","Oct 29, 2021",2022/11/12
331,ArenaX Labs,Seed Round,"$5,000,000 ","Paradigm, Framework Ventures","Oct 28, 2021",2022/11/12
332,Hawku,Seed Round,"$4,000,000 ","Lightspeed Venture Partners, Dragonfly Capital, Multicoin Capital, Alameda Research, Animoca Brands, Solana Capital, Virtual Human Studio, eiventures","Oct 28, 2021",2022/11/12
333,Starchi,Private Round,"$704,000 ","Minted Lab, Empire Global Partners, ZBS Capital, VBC Ventures, Polygon Studios, Chainstride Capital, Halvings Capital, RD Labs (Rug Detectives), Starter Capital","Oct 27, 2021",2022/11/12
334,XHashtag,Private Round,"$2,600,000 ","ExNetwork Capital, Titans Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Avstar Capital, RR2 Capital","Oct 27, 2021",2022/11/12
335,Sipher,Seed Round,"$6,800,000 ","Delphi Digital, Alameda Research, Genesis Block Ventures, Coin98 Ventures, Hashed, Dragonfly Capital, Fenbushi Capital, DeFiance Capital, Arrington XRP Capital, CMT Digital, Signum Capital, HyperChain Capital, BITKRAFT Ventures, Sfermion, Kyber Network, Konvoy Ventures, LootSquad, Salad Ventures, GuildFi, Yield Guild Games, Merit Circle Investor, Perion, Avocado DAO, Ancient8, IndiGG, YGG SEA","Oct 26, 2021",2022/11/12
336,KingSpeed,Private Round,"$1,200,000 ","Kyros Ventures, AU21 Capital, Dutch Crypto Investors, Crypto Dorm Fund, ZBS Capital, Icetea Labs, Lotus Capital, Basics Capital, Maven Capital, Red Kite, Asteroid Capital","Oct 26, 2021",2022/11/12
337,Moo Monster,Private Round,"$1,270,750 ","ExNetwork Capital, Titans Ventures, X21 Digital, Dutch Crypto Investors, OIG Oracles Investment Group, Shima Capital, Gains Associates, Avstar Capital, VBC Ventures, Paradigm, Tokenova","Oct 25, 2021",2022/11/12
338,OnChain Studios,Seed Round,"$7,500,000 ","Andreessen Horowitz, Dapper Labs, DraperAssociates, CoinFund, SoundVentures, Collab+Currency, WndrCo, Ashton Kutcher, JonOringer, MiamiAngels, JoseI.Rasco, MarcoGiberti, PatrickFinnegan, AlexandraWilkisWilson, ChrisAdamo, RandiWolfson, AlexanderTaub, AdamGarfield, DavidGoldberg, DemianBellumio, MarkKingdon, RaulMoas, WifredoFernandez, TigreWenrich, JuhaMikkola, JohannaMikkola, SimkinsLLP, JuanPabloCappello, CarlosDomingo, AmandaGoetz, DanBerger, AndrewSteinwold, AlTylis, Pareto","Oct 25, 2021",2022/11/12
339,The Monopolist,Private Round,"$750,000 ","AU21 Capital, X21 Digital, Dutch Crypto Investors, OIG Oracles Investment Group, Poolz, VBC Ventures, Darkpool Ventures, Infinity Capital, FOMO Chronicles, Kangaroo Capital, Oxbull","Oct 24, 2021",2022/11/12
340,PlaceWar,Private Round,"$2,200,000 ","Kyros Ventures, ExNetwork Capital, AU21 Capital, X21 Digital, Dutch Crypto Investors, LD Capital, ZBS Capital, Icetea Labs, VBC Ventures, Metrix Capital, Megala Ventures","Oct 24, 2021",2022/11/12
341,PolkaPets,Seed Round,"$3,100,000 ","Animoca Brands, Sky Vision Capital, JSquare, WaterDrip Capital, Hillrise Capital, 3Commas, MANTRADAO, Gate.io Labs, Icetea Labs, DuckDao, Panda Capital, Everse Capital, BitMart, CryptoDiffer, DFG, MEXCExchange, NetVRk, CrustNetwork","Oct 24, 2021",2022/11/12
342,Yarloo,Private Round,"$1,550,000 ","Dutch Crypto Investors, OIG Oracles Investment Group, Insignius Capital, Black Dragon, Infinity Capital, WhiteList RU, Bullperks, Synapse Ventures, Avisa Ventures Capital, Alpha Moon Capital, Seed Thrift Ventures","Oct 21, 2021",2022/11/12
343,HeroFi,Private Round,"$1,600,000 ","Titans Ventures, GD10 Ventures, Avstar Capital, Kardia Ventures, HG Ventures (DAS Kapital), Infinity Capital, Mayor Capital, TK Ventures, Alpha Moon Capital, UB Ventures, Roseon Finance","Oct 21, 2021",2022/11/12
344,MonkeyLeague,Private Round,"$2,880,000 ","Morningstar Ventures, CMS Holdings, LongHash Ventures, ZBS Capital, Jump Trading, Republic Labs, NFX, Solana Capital, Banter Capital","Oct 21, 2021",2022/11/12
345,HowlCity,Private Round,"$1,445,000 ",,"Oct 21, 2021",2022/11/12
346,DragonKart,Private Round,"$1,100,000 ",,"Oct 21, 2021",2022/11/12
347,Dreams Quest,Private Round,"$4,000,000 ","AU21 Capital, Momentum 6, DuckDao, Icetea Labs, Black Dragon, Plutus.vc, SL2 Capital, Twin Apex Capital, Moonboots Capital, Bullish Unicorn, PolkaFoundry","Oct 20, 2021",2022/11/12
348,Legend Of Fantasy War,Private Round,"$2,500,000 ","Kyros Ventures, AU21 Capital, X21 Digital, Morningstar Ventures, Momentum 6, Spark Digital Capital, Lancer Capital, Genblock Capital, Master Ventures, ZBS Capital, Lotus Capital","Oct 20, 2021",2022/11/12
349,Vorto Gaming,Seed Round,"$4,000,000 ","Flow Ventures, LD Capital, Block0, DaedalusAngelSyndicate, NEAR Foundation, RedCave Ventures, ArkStream Capital, GFS Ventures, Polygon Studios, OWC","Oct 20, 2021",2022/11/12
350,FuruKuru,Private Round,"$960,000 ","AU21 Capital, X21 Digital, Magnus Capital, ZBS Capital, Poolz, VBC Ventures, Basics Capital, Maven Capital, Everse Capital, Banter Capital, CCIX global, Red Hat Capital","Oct 19, 2021",2022/11/12
351,MetaWars,Private Round,"$2,050,000 ","X21 Digital, Magnus Capital, Icetea Labs, Infinity Gainz, Raptor Capital, Double Peak, CoinUnited Capital, Everse Capital","Oct 19, 2021",2022/11/12
352,Concept Art House,Series A Round,"$25,000,000 ","Dapper Labs, Animoca Brands, AnthosCapital, Appworks, BlockchainCoinvestors, Fabric Ventures, HashKey Capital, Liberty CityVentures, PKOInvestments, PolymorphicCapital, ProtocolLabs, Red Beard Ventures, Spartan Group, JeffZirlin, GabbyDizon, VinnyLingham, KevinLin, Onefootball","Oct 19, 2021",2022/11/12
353,Chimeras,Private Round,"$1,920,000 ","AU21 Capital, LVT Capital, X21 Digital, OIG Oracles Investment Group, Shima Capital, Master Ventures, Lotus Capital, Chain Ridge Capital, Poolz, Avstar Capital, Polygon Studios","Oct 18, 2021",2022/11/12
354,Meta Spatial,Private Round,"$2,130,000 ","AU21 Capital, X21 Digital, OKEx Blockdream Ventures, ZBS Capital, Icetea Labs, Poolz, PrivCode Capital (MEXC Exchange), Avstar Capital, Basics Capital, Maven Capital, Everse Capital","Oct 18, 2021",2022/11/12
355,Gaia Everworld,Private Round,"$3,700,000 ","ExNetwork Capital, AU21 Capital, GD10 Ventures, Momentum 6, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Shima Capital, Pluto Digital Assets, Black Dragon, PrivCode Capital (MEXC Exchange)","Oct 16, 2021",2022/11/12
356,Laguna Games,Seed Round,"$5,000,000 ","BITKRAFT Ventures, Transcent Fund, Delphi Digital, Polygon Studios","Oct 15, 2021",2022/11/12
357,The Killbox,Private Round,"$2,300,000 ","ExNetwork Capital, Dutch Crypto Investors, OIG Oracles Investment Group, OKEx Blockdream Ventures, HG Ventures (DAS Kapital), TK Ventures, Dreamboat Capital, Kommunitas, INTR Ventures, RR2 Capital, WeeHODL","Oct 14, 2021",2022/11/12
358,Sin City,Private Round,"$1,960,000 ","AU21 Capital, Magnus Capital, Twin Apex Capital, Polygon Studios, Grizzly Capital, Maven Capital, Red Kite, Banter Capital, Bullperks, CCIX global","Oct 13, 2021",2022/11/12
359,DeHorizon,Private Round,"$8,500,000 ",Yield Guild Games,"Oct 12, 2021",2022/11/12
360,Polygonum Online,Seed Round,"$1,520,000 ","Kyros Ventures, DAO Maker Investor, ZBS Capital, Icetea Labs, Metrix Capital, Raptor Capital, ReBlock, idoresearch.ventures, Marcius Capital","Oct 11, 2021",2022/11/12
361,Hero Arena,Private Round,"$590,000 ","ExNetwork Capital, AU21 Capital, Minted Lab, X21 Digital, Dutch Crypto Investors, Magnus Capital, Poolz, Gate.io Labs, Chronos Ventures, Basics Capital, HG Ventures (DAS Kapital)","Oct 11, 2021",2022/11/12
362,Elpis Battle,Seed Round,"$2,150,000 ","Hashed, HyperChain Capital, Kyber Network, Signum Capital, DeFi Capital, Fomocraft Ventures, Coin98 Ventures, SotaTek, Kyros Ventures, Avocado Guild, VCCHoldings, ZegoStudio","Oct 11, 2021",2022/11/12
363,TapMe,Private Round,"$445,000 ","OIG Oracles Investment Group, ZBS Capital, Aussie Capital, AVA Capital","Oct 10, 2021",2022/11/12
364,Treeverse,Seed Round,-,"IDEO CoLab Ventures, Animoca Brands, Sky Vision Capital, StaniKulechov","Oct 10, 2021",2022/11/12
365,PlayDapp,Private Round,"$500,000 ","BlockTower Capital, Vestigium, Blocore, Quest Capital","Oct 07, 2021",2022/11/12
366,OP Games,Private Round,"$8,600,000 ","ExNetwork Capital, Protocol Ventures, X21 Digital, Mechanism Capital, Morningstar Ventures, Spartan Group, Momentum 6, BR Capital, LongHash Ventures, DeFi Alliance, Dutch Crypto Investors","Oct 07, 2021",2022/11/12
367,Demole,Private Round,"$1,937,500 ","X21 Digital, LD Capital, Magnus Capital, Metrix Capital, Raptor Capital, Lupa X Capital, AC Capital, Interchain Ventures, ReBlock","Oct 06, 2021",2022/11/12
368,Pegaxy,Private Round,"$2,500,000 ","Kyros Ventures, Momentum 6, Dutch Crypto Investors, Poolz, TAG Ventures, BAP Ventures, Asteroid Capital, TK Ventures","Oct 06, 2021",2022/11/12
369,CheersLand,Private Round,"$2,040,000 ","X21 Digital, Dutch Crypto Investors, Regain Ventures, Gains Associates, Kangaroo Capital, Avalon Wealth Club, Dreamboat Capital, J8 Capital, Seed Thrift Ventures, INTR Ventures, DCT Capital, Crypto Tamil Ventures","Oct 05, 2021",2022/11/12
370,Warena,Private Round,"$1,500,000 ","Kyros Ventures, Animoca Brands, Momentum 6, DAO Maker Investor, Master Ventures, Polygon Studios, Infinity Capital, Red Kite, Paid Network, Clovers Ventures, GameFi Investor, Genesis Builders Fund","Oct 04, 2021",2022/11/12
371,Cryowar,Private Round,"$3,080,000 ","Titans Ventures, GD10 Ventures, OIG Oracles Investment Group, Master Ventures, Vendetta Capital, Basics Capital, Solar Eco Fund, Maven Capital, Everse Capital, Synapse Ventures, Roseon Finance, RR2 Capital","Oct 04, 2021",2022/11/12
372,ProjectOasis,Private Round,"$300,000 ","Minted Lab, Starter Capital","Oct 03, 2021",2022/11/12
373,Space Sip,Private Round,"$1,520,000 ","Phoenix Crypto VC, Titans Ventures, Poolz, Moondot Capital, SMO Capital, Oxbull, Alpha Moon Capital","Oct 02, 2021",2022/11/12
374,Moniwar,Private Round,"$720,000 ","Kardia Ventures, Bigcoin Capital, AVA Capital, Alpha Moon Capital, Dreamboat Capital, Onebit Ventures, Wildcat Ventures, UB Ventures, Roseon Finance, UFIN, RR2 Capital","Oct 01, 2021",2022/11/12
375,WonderHero,Private Round,"$1,650,000 ","X21 Digital, Morningstar Ventures, Icetea Labs, Polkastarter","Oct 01, 2021",2022/11/12
376,Galactic Arena: The NFTverse,Private Round,"$275,000 ","OIG Oracles Investment Group, Poolz, SS Ventures, Lighthouse Ventures","Oct 01, 2021",2022/11/12
377,Blockchain Monster Hunt,Private Round,"$3,800,000 ","GD10 Ventures, Animoca Brands, Morningstar Ventures, Sky Vision Capital, ZBS Capital, Basics Capital, Polygon Studios, HECO Chain, Double Peak, Polkastarter, Dweb3 Capital","Sep 30, 2021",2022/11/12
378,Celestial,Private Round,"$1,400,000 ","OKEx Blockdream Ventures, ZBS Capital","Sep 29, 2021",2022/11/12
379,Roco Finance,Private Round,"$3,600,000 ","Fomocraft Ventures, X21 Digital, Alameda Research, Momentum 6, Dutch Crypto Investors, Huobi Capital, ZBS Capital, Gains Associates, Ava Labs, Avalaunch, Hoop Ventures","Sep 29, 2021",2022/11/12
380,Continuum World,Private Round,"$2,100,000 ","ExNetwork Capital, X21 Digital, DuckDao, OIG Oracles Investment Group, Shima Capital, ZBS Capital, Pluto Digital Assets, CSP DAO, Avstar Capital, Peech Capital, Bigcoin Capital","Sep 28, 2021",2022/11/12
381,Eternal,Seed Round,"$4,500,000 ","Coinbase Ventures, NFX, MarkCuban, Gary Vaynerchuk, Dapper Labs, Arrington XRP Capital, Animoca Brands, Cooper Turley , DevinFinzer, Scalar Capital, TonySheng, Lattice, KevinLin, AlexandraBotez, RobertLeshner, JeffZirlin, MattFinick, JamesPark, RayChan, VillageGlobal, BroadhavenCapitalPartners, A. Capital Ventures","Sep 28, 2021",2022/11/12
382,Duelist King,Private Round,"$1,269,600 ","ExNetwork Capital, AU21 Capital, GD10 Ventures, X21 Digital, Momentum 6, Shima Capital, Magnus Capital, ZBS Capital, HG Ventures (DAS Kapital), Everse Capital, Banter Capital","Sep 26, 2021",2022/11/12
383,The Three Kingdoms,Private Round,"$2,800,000 ","X21 Digital, DAO Maker Investor, Magnus Capital, ZBS Capital, Raptor Capital, Cinch Block, SMO Capital, CoinUnited Capital, Linkpad VC, ReBlock, Boxmining","Sep 25, 2021",2022/11/12
384,Mines Of Dalarnia,Private Round,"$2,700,000 ",,"Sep 24, 2021",2022/11/12
385,Bloktopia,Seed Round,"$4,200,000 ","X21 Digital, Animoca Brands, Polygon, Genblock Capital, Kucoin Labs, Magnus Capital, DuckDao, Dreamboat Capital, Shima Capital, WendyO","Sep 23, 2021",2022/11/12
386,Cryptia,Seed Round,"$2,300,000 ","Kyros Ventures, Fomocraft Ventures, Altonomy, Icetea Labs, Signum Capital, ArkStream Capital, HyperChain Capital, Evangelion Capital, Red Kite, Bullperks, Mapleblock, GameFi Investor","Sep 22, 2021",2022/11/12
387,Nakamoto Games,Private Round,"$5,700,000 ","Legion Ventures, Insignius Capital, Signal Ventures, ZBS Capital, Black Dragon, Gains Associates, Polygon Studios, Moonboots Capital, Everse Capital, Alves Ventures, Fairum","Sep 22, 2021",2022/11/12
388,Planet Sandbox,Private Round,"$1,725,000 ","Kyros Ventures, ExNetwork Capital, AU21 Capital, NGC Ventures, Momentum 6, Dutch Crypto Investors, Magnus Capital, ZBS Capital, Icetea Labs, Vendetta Capital","Sep 22, 2021",2022/11/12
389,World Of Cryptia,Private Round,"$2,300,000 ","Kyros Ventures, Fomocraft Ventures, Altonomy, Icetea Labs, Signum Capital, ArkStream Capital, HyperChain Capital, Evangelion Capital, Red Kite, Bullperks, Mapleblock, GameFi Investor","Sep 22, 2021",2022/11/12
390,Mines Of Dalarnia,Seed Round,"$2,700,000 ","Salad Ventures, Crypto.com Capital, Animoca Brands, Coin98 Ventures, Jump Capital, NGC Ventures, Kyros Ventures, Drops Ventures, X21 Digital, Bitscale Capital, Sanctor Capital","Sep 22, 2021",2022/11/12
391,Elemon,Private Round,"$1,862,500 ","Fomocraft Ventures, Trustdao Capital, X21 Digital, Avstar Capital, Basics Capital, HG Ventures (DAS Kapital), Infinity Capital, CryptoThugs Capital, TK Ventures, Moonknight Labs, CryptoNation, Onebit Ventures","Sep 21, 2021",2022/11/12
392,Knight War,Seed Round,"$1,887,500 ","AU21 Capital, Titans Ventures, X21 Digital, Momentum 6, Dutch Crypto Investors, Magnus Capital, Icetea Labs, A2DAO, VBC Ventures, Basics Capital, Polygon Studios","Sep 20, 2021",2022/11/12
393,HeroVerse,Private Round,"$1,470,000 ","AU21 Capital, X21 Digital, DAO Maker Investor, Icetea Labs, Raptor Capital, Basics Capital, Cinch Block, Banter Capital, UG Ventures","Sep 20, 2021",2022/11/12
394,Heroes & Empires,Seed Round,"$1,500,000 ","Megala Ventures, Raptor Capital, DAO Maker Investor, UG Ventures, Interchain Ventures, Magnus Capital, X21 Digital, Basics Capital, Cinch Block, Icetea Labs, Metrix Capital, CryptoVietLabs, Kyros Ventures, Alpha Moon Capital, SaigonTradeCoin, MCG Capital, CoinF Ventures, Infinity Capital, OnBlock Ventures, TK Ventures, CryptoChecker, SS Ventures, KiwiGROUP, HC Capital, Wings Ventures","Sep 20, 2021",2022/11/12
395,Heroes & Empires,Private Round,"$1,500,000 ","Kyros Ventures, X21 Digital, DAO Maker Investor, Magnus Capital, Icetea Labs, Wings Ventures, Metrix Capital, Raptor Capital, Megala Ventures, Basics Capital, Cinch Block","Sep 20, 2021",2022/11/12
396,My Master War,Private Round,"$1,200,000 ","Animoca Brands, Morningstar Ventures, Icetea Labs, Raptor Capital, RR2 Capital","Sep 19, 2021",2022/11/12
397,Project SEED,Private Round,"$3,100,000 ","ExNetwork Capital, GD10 Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, Insignius Capital, Black Dragon, Vendetta Capital, Gains Associates, Panda Capital, Ruby Capital","Sep 18, 2021",2022/11/12
398,GemGuardian,Private Round,"$680,000 ","Titans Ventures, Legion Ventures, Dutch Crypto Investors, OIG Oracles Investment Group, BSC News, VBC Ventures, Bullperks, Dreamboat Capital, Deltahub Capital, Seed Thrift Ventures","Sep 17, 2021",2022/11/12
