,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
60,TimeShuffle,Seed Round,"$2,100,000 ","Shima Capital, Ava Labs, Avalaunch, AVentures Dao, GBV Capital, MC Ventures (Muhabbit), Dweb3 Capital","May 10, 2022",2022/11/12
61,Branch,Seed Round,"$12,500,000 ","Mechanism Capital, Dragonfly Capital, Coinbase Ventures, Three Arrows Capital","Jul 11, 2022",2022/11/12
62,YGG Japan,Seed Round,"$2,800,000 ","YGG SEA, Yield Guild Games, Animoca Brands, Infinity Ventures Crypto","Jul 08, 2022",2022/11/12
63,MonkeyLeague,Series A Round,"$24,000,000 ","Griffin Gaming Partners, 6th Man Ventures","Jul 14, 2022",2022/11/12
64,CLUB,Seed Round,"$3,100,000 ","Zee Prime Capital, Merit Circle Investor, CitizenX Crypto Ventures, Petrock Capital","Jul 14, 2022",2022/11/12
65,Mirror World,Seed Round,"$4,000,000 ","Republic Crypto, Alameda Research, Galaxy Interactive","Mar 12, 2022",2022/11/12
66,BR1 Infinite,Seed Round,"$3,000,000 ","Solana Ventures, 6th Man Ventures, Shima Capital, Goat Capital, Big Brain Holdings, Krafton, Sino Global Capital, JustinKan","Jul 12, 2022",2022/11/12
67,Decentraland,Unknown Round,-,Digital Currency Group,"Nov 19, 2021",2022/11/12
68,Zigazoo,Series A Round,"$17,000,000 ","Liberty City Ventures, Dapper Labs, Animoca Brands, Lightspeed Venture Partners","Jun 28, 2022",2022/11/12
69,Planetarium Labs,Series A Round,"$32,000,000 ","Animoca Brands, Krust","Jul 08, 2022",2022/11/12
70,Klang Games,Unknown Round,"$41,000,000 ","Animoca Brands, Kingsway Capital","Jul 07, 2022",2022/11/12
71,Genopets,Seed Round,"$8,300,000 ","Konvoy Ventures, Pantera Capital, Old Fashion Research, Alameda Research, Solana Capital, Mechanism Capital, Collab+Currency, Spartan Group, Animoca Brands, OliveX, CMT Digital, GBV Capital, Yield Guild Games, Merit Circle Investor","Oct 18, 2021",2022/11/12
72,Stella Fantasy,Unknown Round,"$5,000,000 ","Animoca Brands, DeFiance Capital, Play Ventures, Double Peak, Dweb3 Capital, GuildFi, Avocado DAO, PathDAO","Jun 27, 2022",2022/11/12
73,EyesFi,Seed Round,"$2,000,000 ","Multicoin Capital, Puzzle Ventures, Deltahub Capital","Jun 24, 2022",2022/11/12
74,MetaOne,Private Round,"$2,000,000 ","Huobi Capital, LD Capital, GSR","Jun 21, 2022",2022/11/12
75,Soulbound,Seed Round,"$3,600,000 ","Animoca Brands, Genblock Capital, NGC Ventures, PANONY, Everest Ventures Group, SL2 Capital, AAGVentures","Jun 17, 2022",2022/11/12
76,Earth From Another Sun (EFAS),Unknown Round,"$4,500,000 ","Solana Ventures, Alameda Research, Lightspeed Venture Partners, Solana Capital","Jun 16, 2022",2022/11/12
77,BitCraft,Series A Round,"$22,000,000 ","Andreessen Horowitz, Supercell","Jun 16, 2022",2022/11/12
78,Wildcard,Series A Round,"$46,000,000 ","Paradigm, Griffin Gaming Partners","Jun 15, 2022",2022/11/12
79,Atmos,Seed Round,"$11,000,000 ","Sfermion, Animoca Brands, Collab+Currency, FBG Capital, Red Beard Ventures, Dweb3 Capital, LD Capital, GSR, Avocado Guild, UNIX","Jun 13, 2022",2022/11/12
80,Tatsumeeko,Seed Round,"$7,500,000 ","DeFiance Capital, Delphi Digital, BITKRAFT Ventures, Binance Labs, Animoca Brands, Dialectic Capital, GuildFi","Jun 09, 2022",2022/11/12
81,Chillchat,Seed Round,"$6,500,000 ","FTX, Crypto.com Capital, Griffin Gaming Partners, Animoca Brands, Spartan Group, Morningstar Ventures","Jun 07, 2022",2022/11/12
82,Moonfrost,Seed Round,"$4,500,000 ","Blocore, Supercell, Animoca Brands, Griffin Gaming Partners","Jun 06, 2022",2022/11/12
83,Walken,Unknown Round,"$4,700,000 ","Infinity Ventures Crypto, Shima Capital, Morningstar Ventures, Huobi Capital, Yield Guild Games, YGG SEA, Genblock Capital, Big Brain Holdings","Jun 03, 2022",2022/11/12
84,The Red Village,Seed Round,"$6,500,000 ","Animoca Brands, GameFi Investor, Kucoin Labs, Polygon Studios, SL2 Capital, Sfermion, Fundamental Labs, Dweb3 Capital, LucidBlue Ventures, OIG Oracles Investment Group, Spark Digital Capital, Metavest Capital, DuckDao, Vendetta Capital, Prometeus Labs","Jun 03, 2022",2022/11/12
85,Revoland,Seed Round,"$10,600,000 ","HashKey Capital, Polygon, AKG Ventures, Arcanum Capital","Jun 01, 2022",2022/11/12
86,Kryptomon,Unknown Round,"$10,000,000 ","NFX, Griffin Gaming Partners","May 31, 2022",2022/11/12
