,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
155,InpulseX,,,2022/11/12
156,League Of Ancients,Earn Guild,68,2022/11/12
156,League Of Ancients,UniX Gaming,36,2022/11/12
157,MegaCryptoPolis,,,2022/11/12
158,Meta Doge,,,2022/11/12
159,Snook,,,2022/11/12
160,Bomb Crypto,Bayz,31,2022/11/12
161,Fancy Birds,Yield Guild Games,41,2022/11/12
161,Fancy Birds,Merit Circle,34,2022/11/12
161,Fancy Birds,IndiGG,28,2022/11/12
161,Fancy Birds,YGG Sea,40,2022/11/12
161,Fancy Birds,Loot Squad,7,2022/11/12
162,BeFITTER,,,2022/11/12
163,RainbowToken,,,2022/11/12
164,TryHards,,,2022/11/12
165,Ftribe Fighters,,,2022/11/12
166,Hololoot,,,2022/11/12
167,Moonscape,,,2022/11/12
168,Plant Vs Undead,UniX Gaming,36,2022/11/12
169,PolkaWar,,,2022/11/12
170,Singularity,,,2022/11/12
171,Polygonum Online,,,2022/11/12
172,VIBEHub,,,2022/11/12
173,Dragonary,UniX Gaming,36,2022/11/12
173,Dragonary,Play It Forward DAO,25,2022/11/12
174,The Parallel,,,2022/11/12
175,Velhalla,,,2022/11/12
176,Fabwelt,,,2022/11/12
177,Reward Hunters,,,2022/11/12
178,Elpis Battle,GuildFi,25,2022/11/12
178,Elpis Battle,Avocado DAO,33,2022/11/12
178,Elpis Battle,Ancient8,15,2022/11/12
179,Alpaca City,,,2022/11/12
180,Bitspawn,,,2022/11/12
181,Rise Of Defenders,Good Games Guild,77,2022/11/12
182,Moo Monster,Good Games Guild,77,2022/11/12
183,Dogemon GO,,,2022/11/12
184,Football Battle,,,2022/11/12
185,Wizarre,Earn Guild,68,2022/11/12
185,Wizarre,Good Games Guild,77,2022/11/12
186,MetaBrands,,,2022/11/12
187,Starbots,Good Games Guild,77,2022/11/12
188,Kawaii Islands,Good Games Guild,77,2022/11/12
189,Warena,,,2022/11/12
190,HeroFi,,,2022/11/12
191,Playermon,,,2022/11/12
192,Metaverse Miner,,,2022/11/12
193,Hero Blaze: Three Kingdoms,,,2022/11/12
194,KingdomX,MetaGaming Guild,41,2022/11/12
194,KingdomX,Good Games Guild,77,2022/11/12
195,Cryptomeda,,,2022/11/12
196,FoxGirl,,,2022/11/12
197,Imperium Empires,,,2022/11/12
198,DragonKart,Bayz,31,2022/11/12
199,Ethermon,,,2022/11/12
200,MetaGods,MetaGaming Guild,41,2022/11/12
200,MetaGods,Good Games Guild,77,2022/11/12
200,MetaGods,PathDAO,39,2022/11/12
200,MetaGods,Play It Forward DAO,25,2022/11/12
200,MetaGods,Earn Guild,68,2022/11/12
200,MetaGods,Avocado DAO,33,2022/11/12
201,DeFi Warrior,Blockchain Space,36,2022/11/12
202,Demole,MetaGaming Guild,41,2022/11/12
202,Demole,Good Games Guild,77,2022/11/12
202,Demole,Avocado DAO,33,2022/11/12
203,Ninneko,Bayz,31,2022/11/12
204,Rage.Fan,Earn Guild,68,2022/11/12
205,Dexioprotocol,,,2022/11/12
206,Clementine's Nightmare,,,2022/11/12
207,Zuki Moba,YGG Sea,40,2022/11/12
208,GridZone.io,,,2022/11/12
209,Fight Of The Ages,Merit Circle,34,2022/11/12
210,My Master War,,,2022/11/12
211,PlayNity,,,2022/11/12
212,Toshimon,,,2022/11/12
213,MOVEY,,,2022/11/12
214,Samurai Legends,,,2022/11/12
215,ChainWars,,,2022/11/12
216,ProjectOasis,,,2022/11/12
217,The Three Kingdoms,Good Games Guild,77,2022/11/12
218,DopeWarz,,,2022/11/12
219,TaleCraft,,,2022/11/12
220,Zodium,GuildFi,25,2022/11/12
221,Crypto Fight Club,,,2022/11/12
222,Playcent,,,2022/11/12
223,MoveCash,,,2022/11/12
224,Rune,,,2022/11/12
225,Metarun,,,2022/11/12
226,Legend Of Fantasy War,Good Games Guild,77,2022/11/12
227,KingSpeed,Good Games Guild,77,2022/11/12
228,CropBytes,,,2022/11/12
229,TradeStars,,,2022/11/12
230,GamyFi,,,2022/11/12
231,Ghospers Game,,,2022/11/12
232,MoonieNFT,,,2022/11/12
233,Block Ape Scissors,,,2022/11/12
234,DeathRoad,,,2022/11/12
235,Aluna Social,,,2022/11/12
236,Avaxtars,,,2022/11/12
237,Lunaverse,,,2022/11/12
238,Ark Of The Universe,,,2022/11/12
239,Phantasia Sports,,,2022/11/12
240,BFK Warzone,,,2022/11/12
241,Idle Mystic,,,2022/11/12
242,Soccer Hub,,,2022/11/12
243,Genesis Worlds,,,2022/11/12
244,MetaWars,Earn Guild,68,2022/11/12
245,Adamant Mine,,,2022/11/12
246,Infinity Skies,Good Games Guild,77,2022/11/12
247,RisingSun,,,2022/11/12
248,Luna Rush,Bayz,31,2022/11/12
249,Werewolves,,,2022/11/12
250,SolChicks Shards,,,2022/11/12
251,GameX,,,2022/11/12
252,DFSocial Gaming,,,2022/11/12
253,Ulti Arena,,,2022/11/12
254,Crusaders Of Crypto,,,2022/11/12
255,APEmove,,,2022/11/12
256,Graviton Zero,,,2022/11/12
257,1000Blocks,,,2022/11/12
258,DarleyGo,Avocado DAO,33,2022/11/12
259,Binapet,,,2022/11/12
260,Battle Saga,Earn Guild,68,2022/11/12
261,WidiLand,,,2022/11/12
262,Metafluence,,,2022/11/12
263,Operon Origins,,,2022/11/12
264,NFT Soccer Games,,,2022/11/12
265,CryptoTycoon,,,2022/11/12
266,Crystal Kingdoms,,,2022/11/12
267,Azuma Games,,,2022/11/12
268,Meeb Master,,,2022/11/12
269,Chain Myth,,,2022/11/12
270,World Of Defish,Good Games Guild,77,2022/11/12
270,World Of Defish,Blockchain Space,36,2022/11/12
271,Black Eye Galaxy,,,2022/11/12
272,MechaChain,,,2022/11/12
273,Bountie Hunter,PathDAO,39,2022/11/12
274,FuruKuru,,,2022/11/12
275,Mobland,Yield Guild Games,41,2022/11/12
275,Mobland,Perion,9,2022/11/12
276,Crypto Gangsters,,,2022/11/12
277,GoldMiner,,,2022/11/12
278,99Starz,,,2022/11/12
279,Crypto Citizen,Blockchain Space,36,2022/11/12
279,Crypto Citizen,UniX Gaming,36,2022/11/12
280,ConeGame,,,2022/11/12
281,Mimir Quiz,,,2022/11/12
282,Cryptoids Game Coin,,,2022/11/12
283,Blade Warrior,,,2022/11/12
284,11Minutes,,,2022/11/12
285,ManuFactory,,,2022/11/12
286,WAGMI DEFENSE,,,2022/11/12
287,Griffin Art,,,2022/11/12
