,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
287,infinity-gainz,,3,0.26x,59.35x,"MetaWars(0.41x ), Monster Battle(0.1x )",2022/11/12
288,kv-ventures,Crypto Ventures,6,0.26x,53.96x,"Zombie World Z(0.43x ), Space Crypto(0.39x ), Elpis Battle(0.36x )",2022/11/12
289,lotus-capital,Crypto Ventures,9,0.26x,22.16x,"H3RO3S(0.81x ), 9D NFT(0.46x ), KingSpeed(0.26x )",2022/11/12
290,crypto-dorm-fund,Crypto Ventures,1,0.26x,6.52x,KingSpeed(0.26x ),2022/11/12
291,wildcat-ventures,Non-Crypto Capital,6,0.25x,75.56x,"Bomb Crypto(0.76x ), Moniwar(0.28x ), Zuki Moba(0.2x )",2022/11/12
292,ss-ventures,Crypto Ventures,4,0.25x,37.03x,"Green Beli(0.56x ), Galactic Arena: The NFTverse(0.15x ), Pocoland(0.04x )",2022/11/12
293,gamefi,Project Based,10,0.24x,30.46x,"Ftribe Fighters(0.54x ), Bemil(0.28x ), Warena(0.26x )",2022/11/12
294,iconium,,1,0.24x,6.58x,ECIO Space(0.24x ),2022/11/12
295,seed-thrift-ventures,Crypto Ventures,8,0.24x,19.89x,"Ninneko(0.63x ), Crypto Fight Club(0.4x ), Katana Inu(0.39x )",2022/11/12
296,bca-investment,Crypto Ventures,6,0.24x,21.96x,"Katana Inu(0.39x ), Monsta Infinite(0.37x ), Attack Wagon(0.21x )",2022/11/12
297,mochi-market,Exchange Fund,1,0.24x,6.58x,ECIO Space(0.24x ),2022/11/12
298,dext-force-ventures,,6,0.24x,16.3x,"Crypto Fight Club(0.4x ), Happy Land(0.34x ), Infinity Skies(0.18x )",2022/11/12
299,signum-capital,,12,0.23x,14.45x,"KingdomX(0.46x ), Elpis Battle(0.36x ), Kawaii Islands(0.06x )",2022/11/12
300,nebula-ventures,Crypto Ventures,1,0.23x,24.47x,BaconDAO(0.23x ),2022/11/12
301,nebula-ventures,Crypto Ventures,1,0.23x,24.47x,BaconDAO(0.23x ),2022/11/12
302,youbi-capital,,4,0.22x,24.98x,"Legends of Mitra(0.23x ), Mech Master(0.21x )",2022/11/12
303,mih-ventures,Crypto Ventures,1,0.21x,47.09x,Mech Master(0.21x ),2022/11/12
304,redcave-ventures,Crypto Ventures,3,0.21x,7.75x,Attack Wagon(0.21x ),2022/11/12
305,a2dao,Project Based,1,0.2x,15.21x,Knight War(0.2x ),2022/11/12
306,onemax-capital,Crypto Ventures,3,0.2x,48.12x,"Mech Master(0.21x ), ASPO World(0.19x )",2022/11/12
307,krypital-group,Crypto Ventures,4,0.2x,89.03x,Zuki Moba(0.2x ),2022/11/12
308,blockpact-capital,Crypto Ventures,2,0.2x,5.92x,"Rise of Defenders(0.24x ), Universe Island(0.15x )",2022/11/12
309,bas-ventures,Crypto Ventures,4,0.2x,66.68x,"Space Crypto(0.39x ), Cowboy Snake(0.26x ), Heroes TD(0.12x )",2022/11/12
310,ufin,Crypto Ventures,3,0.2x,68.72x,"Moniwar(0.28x ), Heroes TD(0.12x )",2022/11/12
311,ava-capital,Crypto Ventures,2,0.19x,22.52x,"Moniwar(0.28x ), TapMe(0.1x )",2022/11/12
312,aussie-capital,Crypto Ventures,4,0.19x,12.76x,"Katana Inu(0.39x ), Attack Wagon(0.21x ), TapMe(0.1x )",2022/11/12
313,cfl-venture-group,Crypto Ventures,1,0.19x,49.14x,ASPO World(0.19x ),2022/11/12
314,cabo-capital,Non-Crypto Capital,1,0.19x,49.14x,ASPO World(0.19x ),2022/11/12
315,4sv,Crypto Ventures,3,0.18x,6.32x,"Rise of Defenders(0.24x ), Metan Evolutions(0.12x )",2022/11/12
316,br-capital,Crypto Ventures,3,0.18x,7.28x,Infinity Skies(0.18x ),2022/11/12
317,global-key-investment,Crypto Ventures,2,0.18x,2.54x,Kyberdyne(0.18x ),2022/11/12
318,ug-ventures,Crypto Ventures,4,0.17x,38.17x,HeroVerse(0.17x ),2022/11/12
319,mh-ventures,Crypto Ventures,2,0.17x,9.21x,Astro Verse(0.17x ),2022/11/12
320,infinity-ventures-crypto,Crypto Ventures,23,0.16x,8.24x,"Nitro League(0.36x ), Dogeon(0.08x ), MetaRacers(0.04x )",2022/11/12
321,kangaroo-capital,Crypto Ventures,9,0.16x,17.86x,"Crypto Fight Club(0.4x ), TaleCraft(0.27x ), Universe Island(0.15x )",2022/11/12
322,r8-capital,,4,0.16x,5.92x,"Rise of Defenders(0.24x ), Ancient Kingdom(0.08x )",2022/11/12
323,bitrise-capital,Crypto Ventures,1,0.16x,48.15x,Defina(0.16x ),2022/11/12
324,bonfire-ventures,Non-Crypto Capital,4,0.16x,48.15x,Defina(0.16x ),2022/11/12
325,hyperchain-capital,,7,0.15x,14.43x,"Elpis Battle(0.36x ), Kawaii Islands(0.06x ), Cryptia(0.04x )",2022/11/12
326,bmw-capital,,3,0.15x,3.85x,"Zomfi(0.23x ), Universe Island(0.15x ), Dogeon(0.08x )",2022/11/12
327,there-exists-ventures,Crypto Ventures,2,0.14x,18.89x,YAY Games(0.14x ),2022/11/12
328,mizuki-capital,Crypto Ventures,1,0.14x,18.89x,YAY Games(0.14x ),2022/11/12
329,bluebridgefinancial,,1,0.14x,27.46x,Aluna Social(0.14x ),2022/11/12
330,empire-global-partners,Crypto Ventures,1,0.13x,16.7x,Starchi(0.13x ),2022/11/12
331,chainstride-capital,,2,0.12x,10.28x,"Starchi(0.13x ), Scotty Beam(0.1x )",2022/11/12
332,qu-ventures,Crypto Ventures,1,0.12x,9.97x,Galaxy War(0.12x ),2022/11/12
333,bsc-news,,3,0.12x,24.97x,"GemGuardian(0.2x ), Hydraverse(0.03x )",2022/11/12
334,bluemoon-venture-capital,Crypto Ventures,1,0.11x,8.09x,Soccer Hub(0.11x ),2022/11/12
335,phoenix-crypto-vc,Crypto Ventures,2,0.1x,83.2x,"Space Sip(0.11x ), World of Defish(0.08x )",2022/11/12
336,moondot-capital,,2,0.1x,83.2x,"Space Sip(0.11x ), World of Defish(0.08x )",2022/11/12
337,asteroid-ventures,Crypto Ventures,1,0.1x,4.83x,Monster Battle(0.1x ),2022/11/12
338,cyberfi,Project Based,1,0.1x,3.86x,Scotty Beam(0.1x ),2022/11/12
339,azcoinvest,Crypto Ventures,1,0.09x,1.66x,Last Survivor(0.09x ),2022/11/12
340,enjinstarter,Project Based,4,0.09x,1.66x,Last Survivor(0.09x ),2022/11/12
341,whitelist-ru,Marketing Support,4,0.09x,6.84x,"Kyberdyne(0.18x ), Pocoland(0.04x ), Yarloo(0.04x )",2022/11/12
342,weehodl,Crypto Ventures,1,0.09x,122.4x,The Killbox(0.09x ),2022/11/12
343,hafen-ventures,Crypto Ventures,2,0.08x,3.64x,Dogeon(0.08x ),2022/11/12
344,j8-capital,Non-Crypto Capital,2,0.07x,0.78x,CheersLand(0.07x ),2022/11/12
345,intr-ventures,Crypto Ventures,4,0.07x,42.4x,"Monster Battle(0.1x ), The Killbox(0.09x ), CheersLand(0.07x )",2022/11/12
346,regain-ventures,Crypto Ventures,1,0.07x,0.78x,CheersLand(0.07x ),2022/11/12
347,imba,Developers Support,1,0.06x,9.88x,Kawaii Islands(0.06x ),2022/11/12
348,darkpool-ventures,,1,0.06x,12.57x,The Monopolist(0.06x ),2022/11/12
349,fomo-chronicles,Project Based,1,0.06x,12.57x,The Monopolist(0.06x ),2022/11/12
350,oraichain,Project Based,1,0.06x,9.88x,Kawaii Islands(0.06x ),2022/11/12
