,游戏名称,IDO,筹款目标,发行资产,Time of Crawl
136,SharkRace Club,Strategic on TrustPad,"$39,900 ",Token Sale,2022/11/12
137,SharkRace Club,IDO on Enjinstarter,"$150,000 ",Token Sale,2022/11/12
138,Animalia,IDO on Synapse Network,"$50,000 ",Token Sale,2022/11/12
139,Animalia,IDO on TrustPad,"$100,000 ",Token Sale,2022/11/12
140,Animalia,IDO on PAID Network,"$200,000 ",Token Sale,2022/11/12
141,MetaClash,IDO on TrustPad,"$200,000 ",Token Sale,2022/11/12
142,Stumble Upon Rumble,IDO on FantomStarter,"$150,000 ",Token Sale,2022/11/12
143,Codyfight,IDO on GameFi,"$142,500 ",Token Sale,2022/11/12
144,Codyfight,IDO on DAO Maker,"$250,000 ",Token Sale,2022/11/12
145,Engines of Fury,IDO on GameFi,"$100,000 ",Token Sale,2022/11/12
146,Engines of Fury,IDO on DAO Maker,"$200,000 ",Token Sale,2022/11/12
